headline,source,category,author,published_date,views,reading_time,engagement_score
Tech Giants Report Record Quarterly Earnings,TechNews,Technology,John Smith,2024-01-15,125000,8,85.5
Global Climate Summit Reaches Historic Agreement,WorldDaily,Environment,Sarah Johnson,2024-01-16,98000,12,92.3
New AI Breakthrough in Medical Diagnosis,HealthTech,Healthcare,Dr. Emily Chen,2024-01-17,156000,6,88.7
Stock Markets Hit All-Time Highs,FinanceWeek,Finance,Michael Brown,2024-01-18,87000,5,76.2
Championship Finals Draw Record Viewers,SportsDaily,Sports,Mike Wilson,2024-01-19,210000,4,95.1
Breakthrough in Renewable Energy Storage,GreenFuture,Environment,Lisa Park,2024-01-20,78000,10,81.4
New Smartphone Launch Breaks Pre-order Records,TechNews,Technology,David Lee,2024-01-21,145000,7,89.2
Housing Market Shows Signs of Recovery,RealEstate Times,Real Estate,Jennifer Adams,2024-01-22,65000,9,72.8
International Film Festival Announces Winners,Entertainment Weekly,Entertainment,Chris Taylor,2024-01-23,92000,6,84.6
Scientists Discover New Species in Deep Ocean,Science Daily,Science,Dr. Robert Miller,2024-01-24,88000,11,87.9
Central Bank Announces Interest Rate Decision,FinanceWeek,Finance,Amanda White,2024-01-25,110000,4,78.3
Major Software Update Released with Security Patches,TechNews,Technology,Kevin Zhang,2024-01-26,95000,5,82.1
Olympic Committee Announces New Host City,SportsDaily,Sports,Laura Davis,2024-01-27,175000,3,91.5
Electric Vehicle Sales Surge Globally,AutoNews,Automotive,Mark Thompson,2024-01-28,120000,8,86.7
New Study Links Diet to Longevity,HealthTech,Healthcare,Dr. Susan Clark,2024-01-29,168000,7,93.2
Cryptocurrency Regulations Update Announced,FinanceWeek,Finance,Peter Wang,2024-01-30,83000,6,74.8
Award-Winning Author Releases New Novel,Literary Review,Literature,Emma Roberts,2024-01-31,55000,9,79.5
Space Agency Plans Mars Mission for 2030,SpaceNews,Space,Colonel James Hunt,2024-02-01,190000,10,94.8
Music Festival Lineup Announced,Entertainment Weekly,Entertainment,Nick Brown,2024-02-02,135000,4,88.3
Breakthrough in Quantum Computing,TechNews,Technology,Dr. Alex Turner,2024-02-03,142000,12,90.6
Climate Report Shows Urgent Action Needed,WorldDaily,Environment,Rachel Green,2024-02-04,115000,15,91.2
New Vaccine Development Shows Promise,HealthTech,Healthcare,Dr. Maria Santos,2024-02-05,185000,6,96.1
Real Estate Market Trends Shift,RealEstate Times,Real Estate,Tom Harris,2024-02-06,72000,8,75.4
Cybersecurity Threats on the Rise,TechNews,Technology,Anna Kim,2024-02-07,128000,5,83.9
Global Trade Agreement Signed,WorldDaily,Economy,James Wilson,2024-02-08,94000,7,77.6
